,Name,RA (deg),DEC (deg),Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,CLASS2
0,4FGL J0000.3-7355 ,0.0983,0.0983,7.459561,2329.5903,1.3922165e-10,1.5810995e-12,2.6104344e-14,2.1796901,2.904301e-14,2.0636854,0.09193873,0.74925256,2.9184798e-14,1.9930127,0.1506087,0.6666667,1.2923392,305.21463,14.60247,0.21577747,     ,          
1,4FGL J0000.5+0743 ,0.1375,0.1375,5.2717257,1304.1947,1.951913e-10,1.1218961e-12,1.0399313e-13,2.3496938,1.5755676e-13,2.0695906,0.4544114,2.5498872,1.4754051e-13,1.9980952,0.5862203,0.6666667,2.5328138,197.2441,25.399525,0.6875743,     ,          
2,4FGL J0000.7+2530 ,0.1878,0.1878,4.1774826,6318.94,7.202151e-11,8.571274e-13,2.0580571e-15,1.8528031,3.0437606e-15,1.646164,0.37635794,1.4711385,3.0794664e-15,1.5078301,0.720244,0.6666667,1.5629383,87.70652,13.650518,0.0,     ,          
3,4FGL J0001.2+4741 ,0.3126,0.3126,4.6926,2420.5752,1.2597956e-10,1.4994537e-12,2.1560312e-14,2.2716956,2.1965499e-14,2.2540812,0.012156134,0.08389318,2.228697e-14,2.2196424,0.029461507,0.6666667,0.3377229,293.14978,25.313953,0.67588246,bcu  ,          
4,4FGL J0001.2-0747 ,0.3151,0.3151,23.782486,1721.6039,7.471219e-10,8.339171e-12,2.656894e-13,2.1166923,2.842831e-13,2.0789266,0.051182024,1.6977366,2.813444e-13,2.0466042,0.063211724,0.6666667,1.8929281,1192.3519,46.780693,0.40656525,bll  ,          
5,4FGL J0001.4-0010 ,0.3717,0.3717,4.900018,4307.0825,1.0822458e-10,1.2313846e-12,6.067356e-15,1.9391596,6.4888174e-15,1.6612232,0.13243835,0.42502323,6.563064e-15,1.6024927,0.17971827,0.6666667,0.99541086,131.81041,9.272764,0.0,bll  ,          
6,4FGL J0001.5+2113 ,0.3815,0.3815,54.653084,329.77374,1.3473536e-09,2.555889e-11,4.683598e-11,2.65406,5.3715615e-11,2.5141594,0.15931939,8.188197,5.1805248e-11,2.4777408,0.19254948,0.6666667,8.311852,5747.4307,1910.9358,0.9961379,fsrq ,          
7,4FGL J0001.6+3503 ,0.4098,0.4098,6.093011,1339.839,2.0787401e-10,9.719669e-13,9.539911e-14,2.3686411,1.6217381e-13,1.8829328,0.7292646,3.1086838,1.5500342e-13,1.8329406,1.0495378,0.6666667,3.1780875,194.70065,7.702316,0.0,     ,          
8,4FGL J0001.6-4156 ,0.4165,0.4165,15.724365,4047.03,2.8218167e-10,3.5604755e-12,1.8815414e-14,1.7751755,2.131597e-14,1.6938646,0.07275369,1.5178293,2.0506261e-14,1.6662233,0.06496242,0.6666667,1.572164,334.99948,26.393343,0.49097705,bcu  ,          
9,4FGL J0001.8-2153 ,0.4647,0.4647,4.578068,4429.934,9.04753e-11,1.0611143e-12,4.94271e-15,1.8766632,7.494641e-15,1.7166204,0.40580785,1.2849038,7.669335e-15,1.5519413,0.7522361,0.6666667,1.4823024,111.2878,24.557972,0.90285075,bcu  ,          
10,4FGL J0002.1-6728 ,0.5378,0.5378,15.477391,3140.7434,2.5888083e-10,2.3898186e-12,2.5782966e-14,1.8477732,3.199995e-14,1.593436,0.18679024,3.089015,3.004925e-14,1.557752,0.19162609,0.6666667,3.203406,223.13884,12.5307255,0.17425367,bll  ,          
11,4FGL J0002.1+6721c,0.5419,0.5419,7.7469087,1662.999,6.2636196e-10,6.1827162e-12,2.113614e-13,2.57087,2.8922353e-13,2.7123258,0.2591686,3.536637,2.895886e-13,2.5423326,0.5130299,0.6666667,3.3542378,1022.4978,10.411502,0.0,unk  ,          
12,4FGL J0002.3-0815 ,0.5937,0.5937,5.100236,3399.5938,1.1913824e-10,1.3253205e-12,1.01222385e-14,2.0920746,1.2610082e-14,2.0607266,0.14686869,1.179114,1.1527471e-14,2.0001626,0.121260665,0.6666667,0.87245125,183.95988,13.0142145,0.09686208,bcu  ,          
13,4FGL J0002.4-5156 ,0.6131,0.6131,4.559291,4073.996,7.802861e-11,8.9724745e-13,4.920186e-15,1.9144565,6.868274e-15,1.535265,0.36898673,1.8631423,6.367126e-15,1.4954993,0.43278491,0.6666667,1.8100272,115.47222,17.68631,0.5716937,bcu  ,          
